################################################################################
#  Typename                PDGID           Name              TeX-Name
################################################################################
0  Unidentified            0               uid               uid
91 Pythia-String           91              py-string1        string1
92 Pythia-String           92              py-string2        string2
7  R-Hadron                1006313         R0t1sd1           R^{0}_{\tilde{t}_{1}sd_{1}}
7  R-Hadron                1006321         R+t1su0           R^{+}_{\tilde{t}_{1}su_{0}}
7  R-Hadron                1006323         R+t1su1           R^{+}_{\tilde{t}_{1}su_{1}}
7  R-Hadron                1006333         R0t1ss1           R^{0}_{\tilde{t}_{1}ss_{1}}
################################################################################
8  Special_Particle        39              G(graviton)       G(graviton)
8  Special_Particle        41              R0                R^{0}
8  Special_Particle        42              LeptoQuark        LQ
8  Special_Particle        110             reggeon           reggeon
8  Special_Particle        990             pomeron           pomeron
8  Special_Particle        9990            odderon           odderon
################################################################################
9  Susy_Particle           1000001         d_L               \tilde{d}_{L}
9  Susy_Particle           1000002         u_L               \tilde{u}_{L}
9  Susy_Particle           1000003         s_L               \tilde{s}_{L}
9  Susy_Particle           1000004         c_L               \tilde{c}_{L}
9  Susy_Particle           1000005         b_1               \tilde{b}_{1}
9  Susy_Particle           1000006         t_1               \tilde{t}_{1}
9  Susy_Particle           1000011         e-_L              \tilde{e}^{-}_{L}
9  Susy_Particle           1000012         nue_L             \tilde{\nu}_{eL}
9  Susy_Particle           1000013         mu-_L             \tilde{\mu}^{-}_{L}
9  Susy_Particle           1000014         numu_L            \tilde{\nu}_{\mu L}
9  Susy_Particle           1000015         tau-_1            \tilde{\tau}^{-}_{1}
9  Susy_Particle           1000016         nutau_L           \tilde{\nu}_{\tau L}
9  Susy_Particle           2000001         d_R               \tilde{d}_{R}
9  Susy_Particle           2000002         u_R               \tilde{u}_{R}
9  Susy_Particle           2000003         s_R               \tilde{s}_{R}
9  Susy_Particle           2000004         c_R               \tilde{c}_{R}
9  Susy_Particle           2000005         b_2               \tilde{b}_{2}
9  Susy_Particle           2000006         t_2               \tilde{t}_{2}
9  Susy_Particle           2000011         e-_R              \tilde{e}^{-}_{R}
9  Susy_Particle           2000013         mu-_R             \tilde{\mu}^{-}_{R}
9  Susy_Particle           2000015         tau-_2            \tilde{\tau}^{-}_{2}
9  Susy_Particle           1000021         gluino            \tilde{g}
9  Susy_Particle           1000022         chi01             \tilde{\chi}^{0}_{1}
9  Susy_Particle           1000023         chi02             \tilde{\chi}^{0}_{2}
9  Susy_Particle           1000024         chi+1             \tilde{\chi}^{+}_{1}
9  Susy_Particle           1000025         chi03             \tilde{\chi}^{0}_{3}
9  Susy_Particle           1000035         chi04             \tilde{\chi}^{0}_{4}
9  Susy_Particle           1000037         chi+2             \tilde{\chi}^{+}_{2}
9  Susy_Particle           1000039         Gravitino         \tilde{G}
################################################################################
10 Kaluza-Klein_Excitation 5100001         d_L(1)            d_{L}^{(1)}
10 Kaluza-Klein_Excitation 5100002         u_L(1)            u_{L}^{(1)}
10 Kaluza-Klein_Excitation 5100011         e-_L(1)           e_{L}^{(1)-}
10 Kaluza-Klein_Excitation 5100012         nu_eL(1)          \nu_{eL}^{(1)}
10 Kaluza-Klein_Excitation 6100001         d_R(1)            d_{R}^{(1)}
10 Kaluza-Klein_Excitation 6100002         u_R(1)            u_{R}^{(1)}
10 Kaluza-Klein_Excitation 6100011         e-_R(1)           e_{R}^{(1)-}
10 Kaluza-Klein_Excitation 6100012         nu_eR(1)          \nu_{eR}^{(1)}
10 Kaluza-Klein_Excitation 5100021         g(1)              g^{(1)}
10 Kaluza-Klein_Excitation 5100022         gamma(1)          \gamma^{(1)}
10 Kaluza-Klein_Excitation 5100023         Z(1)0             Z^{(1)0}
10 Kaluza-Klein_Excitation 5100024         W(1)+             W^{(1)+}
10 Kaluza-Klein_Excitation 5100025         h(1)0             h^{(1)0}
10 Kaluza-Klein_Excitation 5100039         G(1)              G^{(1)}
################################################################################
11 Light_I=1_Meson         111             pi0               \pi^{0}
11 Light_I=1_Meson         211             pi+               \pi^{+}
11 Light_I=1_Meson         9000111         a0(980)0          a_{0}(980)^{0}
11 Light_I=1_Meson         9000211         a0(980)+          a_{0}(980)^{+}
11 Light_I=1_Meson         100111          pi(1300)0         \pi(1300)^{0}
11 Light_I=1_Meson         100211          pi(1300)+         \pi(1300)^{+}
